Date,Year,Cnt_Mth,Title,Incident_Area,Location,Open/Close_Location,Target,Cause,Summary,Fatalities,Injured,Total_victims,Age,Employeed_(Y/N),Employed_at,Mental_Health_Issues,Race,Gender,Latitude,Longitude
4/24/1998,1998,31,Parker Middle School Dance,School,"Edinboro, Pennsylvania",Close,random,Unknown,"On April 24, 1998, a 14-year-old student of Park Middle School in Edinboro, Pennsylvania was attending the end-of-the-year dance at an off-campus banquet hall. The student pulled his father's gun from a pocket and began shooting, killing a teacher and wounding another and two students before being arrested.",1,3,4,14,0,,Yes,White,Male,41.87617136,-80.12459632
5/21/1998,1998,12,Thurston High School,School,"Springfield, Oregon",Close,Students+Parents,psycho,"On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.",4,25,29,15,0,,Yes,White,Male,44.05489698,-123.0075562
10/6/1998,1998,16,Riverside City Hall,Workplace,"Riverside, California",Close,random,terrorism,"On October 6, 1998, a 48-year-old U.S. Postal Service employee entered a conference room at City Hall in Riverside, California and began shooting. He wounded the mayor, two council members and three police officers before being shot by police and taken into custody.",0,6,6,48,1,U.S. Postal Service,No,Black,Male,33.93814348,-117.3948409
4/20/1999,1999,30,Columbine High School,School,"Littleton, Colorado",Unknown,Students+Teachers,terrorism,"On April 20, 1999, two students ages 17 and 18 arrived on their campus at Columbine High School in Littleton, Colorado, planning to kill hundreds of their peers and teachers. After two large propane tank bombs failed to explode, the students began shooting at their classmates, killing twelve and a teacher and wounding twenty-four others. The incident ended when the students killed themselves simultaneously in the library.",15,24,37,"17,18",0,,Yes,White,Male,39.59358263,-105.0152112
5/20/1999,1999,11,Heritage High School,School,"Conyers, Georgia",Unknown,Students,breakup,"On May 20. 1999, a 15-year-old student of Heritage High School in Conyers, Georgia arrived on campus and began shooting his fellow students as he was upset over a breakup with his girlfriend. He non-fatally wounded six students before being arrested.",0,6,6,15,0,,No,White,Male,33.66086267,-84.02688527
7/29/1999,1999,11,Offices of All-Tech Investment Group and Momentum Securities,Workplace,"Atlanta, Georgia",Close,random,psycho,"On July 29, 1999, after murdering his wife and children in their home in Atlanta, Georgia over the prior two days, a 44-year-old day trader entered a stock exchange office, killing four and moving on to another office, where he killed an additional five and wounded twelve. He was pursued by police until he committed suicide at a gas station. ",10,12,21,44,0,,Yes,White,Male,33.7629969,-84.4231328
9/15/1999,1999,10,Wedgwood Baptist Church,Church/Temple,"Fort Worth, Texas",Close,random,terrorism,"steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived.",8,7,14,47,0,,Yes,White,Male,32.74802142,-97.31305148
11/2/1999,1999,13,Xerox Office Building,Workplace,"Honolulu, Hawaii",Close,random,Unknown,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police.",7,0,7,40,1,Xerox Service Technician,Yes,Asian,Male,21.3255125,-157.8473055
12/6/1999,1999,16,Fort Gibson Middle School,School,"Fort Gibson, Oklahoma",Close,Students,Unknown,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.",0,4,4,13,0,,No,White,Male,35.77669911,-95.25996596
12/30/1999,1999,15,Radisson Bay Harbor Inn,Hotel,"Tampa, Florida",Open+Close,Coworkers,Unknown,"On December 30, 1999, a 36-year-old employee of the Radisson Bay Harbor Inn in Tampa, Florida arrived at his place of work and began shooting his coworkers, killing four and wounding three others. He fled the scene and attempted to steal a vehicle, killing the woman inside before being arrested.",5,3,8,36,1,Radisson Bay Harbor Inn,No,Other,Male,27.99601861,-82.44503769
12/26/2000,2000,14,Wakefield massacre,Workplace,"Wakefield, Massachusetts",Close,Coworkers,Unknown,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested.",7,0,7,42,1,Edgewater Technology,Yes,White,Male,42.506484,-71.0728306
2/5/2001,2001,42,Navistar International,Workplace,"Melrose Park, Illinois",Close,Coworkers,unemployement,"On February 5, 2001, a 66-year-old fired employee arrived at his former workplace at Navistar in Melrose Park, Illinois with firearms, forced his way past security and began shooting at supervisors and coworkers before committing suicide. He had been scheduled to begin a prison sentence the next day on charges of stealing from his employer.",6,4,9,66,0,,No,Black,Male,41.90289602,-87.8643021
3/5/2001,2001,32,Santana High School,School,"San Diego, California",Close,Students,terrorism,"On March 5, 2001, a 15-year-old student of Santana High School in San Diego, California arrived to school and began shooting at his fellow classmates. Two students were killed and thirteen others were wounded before the shooter was taken into custody.",2,13,15,15,0,,No,White,Male,32.86357277,-117.1281628
1/16/2002,2002,22,Appalachian School of Law,University,"Grundy, Virginia",Close,Students+Teachers,anger,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",3,3,6,43,0,,No,Black,Male,37.27537712,-82.09877234
10/28/2002,2002,15,University of Arizona College of Nursing,University,"Tucson, Arizona",Close,Teachers,failing exams,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",4,0,3,41,0,,No,Other,Male,32.15358905,-110.9677647
5/9/2003,2003,10,Case Western Reserve University,University,"Cleveland, Ohio",Close,Students+Teachers,terrorism,"On May 9, 2003, a graduate of the Case Western Reserve University in Cleveland, Ohio began shooting on the school grounds, killing a student and wounding a professor and another student. He was later arrested after holding a building hostage for seven hours.",1,2,3,,0,,No,Asian,Male,41.47657557,-81.68051502
7/8/2003,2003,10,Lockheed Martin shooting,Workplace,"Meridian, Mississippi",Close,random,racism,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide.",7,8,15,48,0,,Yes,White,Male,32.376081,-88.68978002
